observation_date,PAYEMS_20091002,GDP_20090930
5/1/1986,99223.0,
6/1/1986,99130.0,
7/1/1986,99448.0,4491.3
8/1/1986,99561.0,
9/1/1986,99907.0,
10/1/1986,100094.0,4543.3
11/1/1986,100280.0,
12/1/1986,100484.0,
1/1/1987,100655.0,4611.1
2/1/1987,100887.0,
3/1/1987,101136.0,
4/1/1987,101474.0,4686.7
5/1/1987,101701.0,
6/1/1987,101872.0,
7/1/1987,102218.0,4764.5
8/1/1987,102388.0,
9/1/1987,102617.0,
10/1/1987,103109.0,4883.1
11/1/1987,103340.0,
12/1/1987,103634.0,
1/1/1988,103728.0,4948.6
2/1/1988,104180.0,
3/1/1988,104456.0,
4/1/1988,104701.0,5059.3
5/1/1988,104928.0,
6/1/1988,105291.0,
7/1/1988,105514.0,5142.8
8/1/1988,105635.0,
9/1/1988,105975.0,
10/1/1988,106243.0,5251.0
11/1/1988,106582.0,
12/1/1988,106871.0,
1/1/1989,107133.0,5360.3
2/1/1989,107391.0,
3/1/1989,107583.0,
4/1/1989,107756.0,5453.6
5/1/1989,107874.0,
6/1/1989,107991.0,
7/1/1989,108030.0,5532.9
8/1/1989,108077.0,
9/1/1989,108326.0,
10/1/1989,108437.0,5581.7
11/1/1989,108714.0,
12/1/1989,108809.0,
1/1/1990,109151.0,5708.1
2/1/1990,109396.0,
3/1/1990,109611.0,
4/1/1990,109651.0,5797.4
5/1/1990,109800.0,
6/1/1990,109817.0,
7/1/1990,109775.0,5850.6
8/1/1990,109567.0,
9/1/1990,109485.0,
10/1/1990,109324.0,5846.0
11/1/1990,109180.0,
12/1/1990,109120.0,
1/1/1991,109001.0,5880.2
2/1/1991,108695.0,
3/1/1991,108535.0,
4/1/1991,108324.0,5962.0
5/1/1991,108196.0,
6/1/1991,108283.0,
7/1/1991,108236.0,6033.7
8/1/1991,108251.0,
9/1/1991,108286.0,
10/1/1991,108298.0,6092.5
11/1/1991,108240.0,
12/1/1991,108263.0,
1/1/1992,108312.0,6190.7
2/1/1992,108246.0,
3/1/1992,108296.0,
4/1/1992,108454.0,6295.2
5/1/1992,108580.0,
6/1/1992,108640.0,
7/1/1992,108711.0,6389.7
8/1/1992,108852.0,
9/1/1992,108887.0,
10/1/1992,109064.0,6493.6
11/1/1992,109204.0,
12/1/1992,109415.0,
1/1/1993,109725.0,6544.5
2/1/1993,109967.0,
3/1/1993,109916.0,
4/1/1993,110225.0,6622.7
5/1/1993,110490.0,
6/1/1993,110663.0,
7/1/1993,110958.0,6688.3
8/1/1993,111119.0,
9/1/1993,111360.0,
10/1/1993,111637.0,6813.8
11/1/1993,111898.0,
12/1/1993,112206.0,
1/1/1994,112474.0,6916.3
2/1/1994,112675.0,
3/1/1994,113137.0,
4/1/1994,113490.0,7044.3
5/1/1994,113821.0,
6/1/1994,114136.0,
7/1/1994,114499.0,7131.8
8/1/1994,114799.0,
9/1/1994,115153.0,
10/1/1994,115360.0,7248.2
11/1/1994,115783.0,
12/1/1994,116057.0,
1/1/1995,116378.0,7307.7
2/1/1995,116587.0,
3/1/1995,116809.0,
4/1/1995,116971.0,7355.8
5/1/1995,116955.0,
6/1/1995,117186.0,
7/1/1995,117265.0,7452.5
8/1/1995,117536.0,
9/1/1995,117781.0,
10/1/1995,117928.0,7542.5
11/1/1995,118076.0,
12/1/1995,118207.0,
1/1/1996,118188.0,7638.2
2/1/1996,118622.0,
3/1/1996,118885.0,
4/1/1996,119046.0,7800.0
5/1/1996,119369.0,
6/1/1996,119647.0,
7/1/1996,119879.0,7892.7
8/1/1996,120075.0,
9/1/1996,120295.0,
10/1/1996,120538.0,8023.0
11/1/1996,120834.0,
12/1/1996,121001.0,
1/1/1997,121231.0,8137.0
2/1/1997,121532.0,
3/1/1997,121844.0,
4/1/1997,122135.0,8276.8
5/1/1997,122391.0,
6/1/1997,122644.0,
7/1/1997,122927.0,8409.9
8/1/1997,122909.0,
9/1/1997,123417.0,
10/1/1997,123756.0,8505.7
11/1/1997,124059.0,
12/1/1997,124358.0,
1/1/1998,124628.0,8600.6
2/1/1998,124817.0,
3/1/1998,124961.0,
4/1/1998,125238.0,8698.6
5/1/1998,125639.0,
6/1/1998,125851.0,
7/1/1998,125970.0,8847.2
8/1/1998,126322.0,
9/1/1998,126540.0,
10/1/1998,126733.0,9027.5
11/1/1998,127017.0,
12/1/1998,127359.0,
1/1/1999,127480.0,9148.6
2/1/1999,127890.0,
3/1/1999,127996.0,
4/1/1999,128372.0,9252.6
5/1/1999,128585.0,
6/1/1999,128851.0,
7/1/1999,129142.0,9405.1
8/1/1999,129334.0,
9/1/1999,129536.0,
10/1/1999,129944.0,9607.7
11/1/1999,130238.0,
12/1/1999,130532.0,
1/1/2000,130781.0,9709.5
2/1/2000,130902.0,
3/1/2000,131374.0,
4/1/2000,131660.0,9949.1
5/1/2000,131885.0,
6/1/2000,131839.0,
7/1/2000,132002.0,10017.5
8/1/2000,132005.0,
9/1/2000,132127.0,
10/1/2000,132116.0,10129.8
11/1/2000,132347.0,
12/1/2000,132485.0,
1/1/2001,132469.0,10165.1
2/1/2001,132530.0,
3/1/2001,132500.0,
4/1/2001,132219.0,10301.3
5/1/2001,132175.0,
6/1/2001,132047.0,
7/1/2001,131922.0,10305.2
8/1/2001,131762.0,
9/1/2001,131518.0,
10/1/2001,131193.0,10373.1
11/1/2001,130901.0,
12/1/2001,130723.0,
1/1/2002,130591.0,10498.7
2/1/2002,130444.0,
3/1/2002,130420.0,
4/1/2002,130335.0,10601.9
5/1/2002,130328.0,
6/1/2002,130373.0,
7/1/2002,130276.0,10701.7
8/1/2002,130260.0,
9/1/2002,130205.0,
10/1/2002,130331.0,10766.9
11/1/2002,130339.0,
12/1/2002,130183.0,
1/1/2003,130266.0,10888.4
2/1/2003,130108.0,
3/1/2003,129896.0,
4/1/2003,129847.0,11008.1
5/1/2003,129841.0,
6/1/2003,129839.0,
7/1/2003,129864.0,11255.7
8/1/2003,129822.0,
9/1/2003,129925.0,
10/1/2003,130128.0,11416.5
11/1/2003,130146.0,
12/1/2003,130270.0,
1/1/2004,130420.0,11597.2
2/1/2004,130463.0,
3/1/2004,130801.0,
4/1/2004,131051.0,11778.4
5/1/2004,131361.0,
6/1/2004,131442.0,
7/1/2004,131489.0,11950.5
8/1/2004,131610.0,
9/1/2004,131770.0,
